	group	names	scores	logfoldchanges	pvals	pvals_adj
8987	Root hair	AT1G54970	18.64705	5.591002	1.3343547962489022e-77	1.6478571970484449e-75
8988	Root hair	AT2G44450	18.571968	2.21642	5.417993273942828e-77	6.65553173762596e-75
8989	Root hair	AT4G37640	18.544338	2.5290313	9.061045427286634e-77	1.1072120615016514e-74
8990	Root hair	AT4G17100	18.542015	2.5495512	9.460902140682411e-77	1.1500197120430553e-74
8991	Root hair	AT3G05490	18.522537	1.6506498	1.3588093130762692e-76	1.6345842394658934e-74
8992	Root hair	AT3G06300	18.518167	2.1832056	1.4736592206535468e-76	1.7545613397904305e-74
8993	Root hair	AT4G32470	18.371357	1.5173621	2.2277357329519945e-75	2.6121889147447705e-73
8994	Root hair	AT1G15120	18.365162	1.5266701	2.4970778928950434e-75	2.9132993688112674e-73
8995	Root hair	AT5G24880	18.346865	6.165126	3.497249361235205e-75	4.059781920989888e-73
8996	Root hair	AT4G38920	18.330418	1.316169	4.732531953926903e-75	5.466427580811985e-73
8997	Root hair	AT1G56660	18.128952	0.7596546	1.88312945643237e-73	2.1223600286403075e-71
8998	Root hair	AT4G26970	18.101706	1.4986194	3.089480180144044e-73	3.4651430600195296e-71
8999	Root hair	AT5G17460	18.066797	1.0484376	5.819496301504639e-73	6.495732963078519e-71
9000	Root hair	AT5G08690	17.811104	1.515351	5.795502159968191e-71	6.407341602284833e-69
9001	Root hair	AT1G75220	17.80271	1.6159077	6.7331294028776944e-71	7.408676082777794e-69
9002	Root hair	AT4G13390	17.77797	6.122778	1.0470248387191936e-70	1.1412570742039209e-68
9003	Root hair	AT3G15950	17.703999	1.0862987	3.9055977160177313e-70	4.2372085127469e-68
9004	Root hair	AT3G61560	17.59272	4.8937364	2.8010527216267923e-69	3.0107426406485756e-67
9005	Root hair	AT4G39080	17.463202	1.2631513	2.731745497699821e-68	2.869816073307545e-66
9006	Root hair	AT1G67350	17.30725	1.555093	4.14767138120013e-67	4.318228092256656e-65
9007	Root hair	AT3G01280	17.192858	1.6807892	3.00356160228901e-66	3.0855614920506164e-64
9008	Root hair	AT4G37830	17.082294	1.4802939	2.0105358151802054e-65	2.038367249827023e-63
9009	Root hair	AT4G02620	17.051197	1.4469817	3.424460607405473e-65	3.4567696487883853e-63
9010	Root hair	AT1G70490	16.995924	1.303416	8.803148744091363e-65	8.809599327222809e-63
9011	Root hair	AT1G65610	16.801867	3.1197684	2.3648567607382468e-63	2.3166615786523154e-61
9012	Root hair	AT2G45890	16.797909	4.7269416	2.5279883829557997e-63	2.466063289373311e-61
9013	Root hair	AT3G07070	16.749151	5.7773304	5.744065073884353e-63	5.5566649508488765e-61
9014	Root hair	AT5G40860	16.741516	5.3927455	6.530447263261751e-63	6.291178178885813e-61
